7, 0, 192.86, 124.03, 565.84, 310.60, -1, -1, -1, -1
8, 0, 192.13, 136.61, 564.19, 312.18, -1, -1, -1, -1
9, 0, 181.78, 128.67, 561.25, 311.78, -1, -1, -1, -1
10, 0, 197.43, 145.52, 564.86, 313.44, -1, -1, -1, -1
11, 0, 187.21, 135.93, 568.00, 312.44, -1, -1, -1, -1
12, 0, 173.44, 135.66, 559.88, 311.32, -1, -1, -1, -1
13, 0, 176.09, 134.44, 562.45, 311.10, -1, -1, -1, -1
15, 0, 209.06, 167.12, 559.74, 315.61, -1, -1, -1, -1
16, 0, 178.48, 143.83, 564.44, 310.54, -1, -1, -1, -1
17, 0, 190.28, 153.09, 564.15, 310.90, -1, -1, -1, -1
18, 0, 191.12, 151.36, 563.91, 310.49, -1, -1, -1, -1
19, 0, 201.35, 160.55, 563.24, 315.10, -1, -1, -1, -1
20, 0, 209.86, 168.56, 563.44, 314.87, -1, -1, -1, -1
21, 0, 196.61, 158.35, 565.09, 310.38, -1, -1, -1, -1
22, 0, 204.72, 169.27, 563.97, 315.16, -1, -1, -1, -1
23, 0, 205.83, 166.97, 563.82, 314.52, -1, -1, -1, -1
24, 0, 205.61, 165.81, 563.84, 314.59, -1, -1, -1, -1
25, 0, 196.48, 164.75, 563.45, 312.40, -1, -1, -1, -1
26, 0, 200.72, 161.28, 563.74, 313.42, -1, -1, -1, -1
27, 0, 211.25, 184.81, 565.41, 315.46, -1, -1, -1, -1
29, 0, 184.06, 151.78, 565.06, 314.05, -1, -1, -1, -1
31, 0, 211.39, 140.86, 568.00, 312.03, -1, -1, -1, -1
32, 0, 194.83, 149.81, 568.00, 308.76, -1, -1, -1, -1
34, 0, 175.95, 144.87, 568.00, 310.72, -1, -1, -1, -1
35, 0, 138.57, 130.03, 568.00, 309.28, -1, -1, -1, -1
36, 0, 167.08, 165.97, 568.00, 311.53, -1, -1, -1, -1
38, 0, 156.40, 178.04, 568.00, 310.76, -1, -1, -1, -1
